Center,period,Product Rating (PR)
1116 - Cult Gym Budigere Cross,Q-2023-10-01,3.71
1117 - Cult Budigere Cross,Q-2023-10-01,3.88
1118 - Cult Gym Sion,Q-2023-10-01,3.72
1119 - Cult Sion,Q-2023-10-01,3.9
112 - Fluid,Q-2023-10-01,3.7
1120 - Cult Gym Siliguri,Q-2023-10-01,3.83
1123 - Cult Varthur,Q-2023-10-01,3.84
1124 - Gold's Gym (Gomti Nagar),Q-2023-10-01,2.99
1125 - Cult Siliguri,Q-2023-10-01,3.97
1126 - Gold's Gym Banashankari,Q-2023-10-01,3.58
1127 - Gold's Gym NIBM,Q-2023-10-01,3.6
1128 - B3 Wellness Studio (JP Nagar),Q-2023-10-01,3.63
1129 - Fitness First Platinum Crest Mukta,Q-2023-10-01,3.64
113 - Fitness Ministry,Q-2023-10-01,3.71
1130 - Cult Gym Paschim Vihar - Rohtak Rd,Q-2023-10-01,3.68
1131 - Cult Paschim Vihar - Rohtak Rd,Q-2023-10-01,3.9
1132 - Revive Fitness,Q-2023-10-01,3.76
1133 - Step Up Fitness (Vile Parle East),Q-2023-10-01,3.81
1136 - Fit Gym Reloaded,Q-2023-10-01,3.71
1137 - IGNYT Gym (Paschim Vihar),Q-2023-10-01,3.64
1138 - Cult Gym Nallagandla - Huda,Q-2023-10-01,3.68
1139 - Cult Nallagandla - Huda,Q-2023-10-01,3.9
"114 - Cult Thane, Ghodbunder Road",Q-2023-10-01,3.91
1140 - Cult Gym Panathur,Q-2023-10-01,3.63
1141 - Cult Panathur,Q-2023-10-01,3.81
1144 - Cult Gym Bommanahalli,Q-2023-10-01,3.66
1145 - Cult Bommanahalli,Q-2023-10-01,3.82
1146 - Reveal Fitness,Q-2023-10-01,3.78
1147 - HRX Gym JP Nagar,Q-2023-10-01,3.62
1148 - HRX Gym AS Rao Nagar,Q-2023-10-01,3.68
1149 - Cult Gym Nagarbhavi,Q-2023-10-01,3.75
115 - Cult Indiranagar,Q-2023-10-01,3.86
1150 - Cult Nagarbhavi,Q-2023-10-01,3.85
1151 - Fitso DPSG Palam Vihar,Q-2023-10-01,3.76
1152 - Fitso Thubarahalli MKR Sports Arena,Q-2023-10-01,3.72
1153 - Modest Gainz,Q-2023-10-01,3.71
1155 - Gold's Gym RR Nagar,Q-2023-10-01,3.81
1156 - Fitso E-City Nova Sports,Q-2023-10-01,3.69
1157 - Cult Gym Vyapar Kendra,Q-2023-10-01,3.61
1158 - Cult Vyapar Kendra,Q-2023-10-01,3.83
1159 - HRX Gym Kothapet,Q-2023-10-01,3.54
116 - Cult JP Nagar,Q-2023-10-01,3.86
1162 - Fitso Mahadevapura Play Plus,Q-2023-10-01,3.73
1163 - Fitso Ramamurthy Nagar Sport Fit,Q-2023-10-01,3.8
1166 - Iron Fist (Moosapet),Q-2023-10-01,3.76
1167 - Millennium Fitness Club (Banjara Hills),Q-2023-10-01,3.7
1168 - Iron House (Worli),Q-2023-10-01,4
1169 - Gold's Gym (Bandra),Q-2023-10-01,3.73
117 - Cult HSR 19th Main,Q-2023-10-01,3.88
1171 - Gold's Gym (Raj Nagar Extension),Q-2023-10-01,3.62
1176 - Cult Gym Kasavanahalli,Q-2023-10-01,3.69
1178 - Cult Gym Thanisandra,Q-2023-10-01,3.65
"1179 - Fitnest Prime, Prashant Vihar",Q-2023-10-01,3.69
118 - Cult Sarjapur,Q-2023-10-01,3.89
1180 - Cult Gym Gurgaon Sec-56,Q-2023-10-01,3.69
1182 - Burn And Build,Q-2023-10-01,3.56
1185 - Cult Thanisandra,Q-2023-10-01,3.82
1186 - Cult Kasavanahalli,Q-2023-10-01,3.84
1187 - Cult Gurgaon Sec-56,Q-2023-10-01,3.89
1188 - Fitso Karmanghat One All,Q-2023-10-01,3.73
1189 - Vogue Health Club (JP Nagar),Q-2023-10-01,3.66
119 - Cult Bellandur,Q-2023-10-01,3.85
1191 - Cult Gym Neeladri Road ECity,Q-2023-10-01,3.78
1192 - Cult Neeladri Road ECity,Q-2023-10-01,3.88
1194 - New Supergym Prime (Hoodi),Q-2023-10-01,3.63
1195 - Speed Fitness (Bandlaguda),Q-2023-10-01,3.69
1196 - Raptor Fitness (Gachibowli),Q-2023-10-01,3.72
120 - Cult Koramangala 80ft Rd,Q-2023-10-01,3.86
1201 - Cult Gym Attapur,Q-2023-10-01,3.55
1202 - Cult Gym Company Bagh,Q-2023-10-01,3.77
1203 - Cult Attapur,Q-2023-10-01,3.94
1204 - HSR Fitness World,Q-2023-10-01,
1206 - Cult Company Bagh,Q-2023-10-01,3.86
1207 - Elgis Fitness Gym,Q-2023-10-01,3.56
121 - Cult Tribe Indiranagar,Q-2023-10-01,3.86
1212 - JS Fitness Studio Gym,Q-2023-10-01,
123 - Cult Whitefield,Q-2023-10-01,3.9
1234 - Fitvilla,Q-2023-10-01,
1236 - Muscular Aptitude,Q-2023-10-01,
1241 - Reebok CrossFit,Q-2023-10-01,
1249 - Plej Fitness - Play Arena,Q-2023-10-01,
125 - Cult Koramangala Bethany,Q-2023-10-01,4
1255 - Fitness Club Gym Studio,Q-2023-10-01,
1256 - OTwo Gym N Spa,Q-2023-10-01,
1257 - Plej Fitness - Electronic City,Q-2023-10-01,
1258 - IFitness HSR Layout,Q-2023-10-01,
1263 - All Time Fitness (Previously Aimfit Gym),Q-2023-10-01,
1264 - Green Fitness Studio 24x7 - Electronic City,Q-2023-10-01,3
1265 - Green Fitness Studio 24x7 - Bommanahalli,Q-2023-10-01,
1271 - Gravitaz,Q-2023-10-01,
1272 - Ultrex Recreational Club,Q-2023-10-01,
1275 - Ramagya Sports Academy,Q-2023-10-01,
1277 - Anytime Fitness Shahdara,Q-2023-10-01,
1288 - OxyGym,Q-2023-10-01,
"129 - Cult Whitefield, Shantiniketan",Q-2023-10-01,3.83
1290 - Fighting Choice Sector 51,Q-2023-10-01,
1291 - Moltom The Fitness Lounge,Q-2023-10-01,
1310 - Moments Fitness Hub 4.0,Q-2023-10-01,3.69
1311 - The Royal Fitness Club,Q-2023-10-01,3.76
1318 - Skale Fitness - Anna Nagar,Q-2023-10-01,
1319 - Skale Fitness - Ambattur,Q-2023-10-01,
"1320 - Cult Gym Fitnest Prime, Vasant Kunj",Q-2023-10-01,3.46
1323 - Fighting Choice Greater Noida,Q-2023-10-01,
"133 - Cult Baani, Sector 56",Q-2023-10-01,3.9
1332 - Pink Fitness - Ganapathy,Q-2023-10-01,
134 - Cult Mahadevapura,Q-2023-10-01,3.87
1344 - Foxx Fitness Sector 17,Q-2023-10-01,
135 - Cult Malleshwaram,Q-2023-10-01,3.86
1352 - GoFitz Dance and Fitness Academy,Q-2023-10-01,
1354 - HYPE The Gym South City 1,Q-2023-10-01,
1356 - Sweat Shop - The Boutique Gym,Q-2023-10-01,
1370 - ETG The Gym Nirman Vihar,Q-2023-10-01,
1375 - Kraken Fit Club,Q-2023-10-01,3.75
1376 - The Wellness Club Express Paschim Vihar,Q-2023-10-01,4
138 - Cult Jayanagar,Q-2023-10-01,3.87
1380 - Chisel Punjabi Bagh,Q-2023-10-01,
1381 - Crossfit Yard,Q-2023-10-01,
1386 - Anytime Fitness Vikaspuri,Q-2023-10-01,
139 - Cult Basaveshwar Nagar,Q-2023-10-01,3.9
1424 - Shark Fitness (Secunderabad),Q-2023-10-01,3.47
1425 - Coreflex Pilates Studio,Q-2023-10-01,
1429 - Workout Wonders WOW,Q-2023-10-01,
143 - Cult RMV 2nd Stage (Deprecated),Q-2023-10-01,3.86
"1430 - Cult Gym Thane, Ghodbunder Road",Q-2023-10-01,3.77
1433 - Shred And Tone Gym,Q-2023-10-01,
1437 - Fluid Active Fitness Lajpat Nagar,Q-2023-10-01,
144 - Cult Electronic City,Q-2023-10-01,3.88
1451 - Gold's Gym (Breach Candy),Q-2023-10-01,3.63
1453 - Cult Gym Paschim Vihar - B Block,Q-2023-10-01,3.71
1454 - Cult Paschim Vihar - B Block,Q-2023-10-01,3.84
1461 - Drona The Fitness Gurukul (Chandra Layout),Q-2023-10-01,3.65
1470 - Cult Gym Shaikpet,Q-2023-10-01,3.55
1471 - Cult Shaikpet,Q-2023-10-01,3.75
1472 - Cult Gym Hennur,Q-2023-10-01,3.69
"1473 - Cult Gym Thubarahalli, BEML Layout",Q-2023-10-01,3.71
1475 - Cult Hennur,Q-2023-10-01,3.78
"1476 - Cult Thubarahalli, BEML Layout",Q-2023-10-01,3.81
1482 - AK Fitness,Q-2023-10-01,
1484 - Amritam Yoga Foundation,Q-2023-10-01,
1485 - Anytime Fitness Dwarka Sector 12,Q-2023-10-01,
"1486 - Gold's Gym (Kandivali East, Thakur Mall)",Q-2023-10-01,3.62
149 - Cult Hauz Khas,Q-2023-10-01,3.88
1496 - Battle Fit Gym (Sarvodaya Enclave),Q-2023-10-01,3.78
1497 - Cult Gym Kompally,Q-2023-10-01,3.84
1498 - Cult Gym Model Town,Q-2023-10-01,3.71
1499 - Cult Gym Dilsukhnagar,Q-2023-10-01,3.69
15 - GymX Marathahalli,Q-2023-10-01,3.55
1500 - Cult Gym Preet Vihar,Q-2023-10-01,3.77
1501 - Cult Gym Hoodi Main,Q-2023-10-01,3.77
"1502 - Cult Gym Whitefield, Shantiniketan",Q-2023-10-01,3.72
1503 - Cult Gym Koramangala 80 Ft Road,Q-2023-10-01,3.75
1510 - Fitamaze Gym And Fitness Centre,Q-2023-10-01,
1511 - FitGainer Gym And Fitness Centre,Q-2023-10-01,
1515 - Cult Gym Gachibowli - Indira Nagar,Q-2023-10-01,3.8
152 - Cult Banashankari,Q-2023-10-01,3.87
1523 - Skale Fitness - Chinmaya Nagar,Q-2023-10-01,
1531 - Raptor Fitness,Q-2023-10-01,3.72
154 - Cult JP Nagar 7th Phase,Q-2023-10-01,3.86
1546 - Foundry Active (Kaggadasapura) - GX,Q-2023-10-01,3.71
155 - Cult Harlur (deprecated),Q-2023-10-01,3.9
"1553 - Cult Gym Rajouri Garden, Z Block",Q-2023-10-01,3.67
"1554 - Cult Rajouri Garden, Z Block",Q-2023-10-01,3.9
156 - Cult Sahakar Nagar,Q-2023-10-01,3.9
1560 - The Core Fit Gym,Q-2023-10-01,3.73
1561 - Kris Gethin Gym Gurgaon,Q-2023-10-01,
157 - Cult Marathahalli,Q-2023-10-01,3.85
1571 - Gold's Gym Indirapuram,Q-2023-10-01,
1574 - Zest Fitness Studio Sector 7,Q-2023-10-01,
1576 - Zest Fitness Studio - HSR Layout Gym,Q-2023-10-01,
159 - Cult Yelahanka,Q-2023-10-01,3.92
1599 - Virtu Fitness- Madipakkam,Q-2023-10-01,
160 - Cult Bannerghatta Main Rd,Q-2023-10-01,3.9
161 - Cult RR Nagar,Q-2023-10-01,3.86
162 - Cult Kannamangala,Q-2023-10-01,3.91
163 - Cult RT Nagar (deprecated),Q-2023-10-01,3.85
"1631 - Cult Gym Rohini, Sector 11",Q-2023-10-01,3.52
"1632 - Cult Gym Tulip Chowk, Sector 69",Q-2023-10-01,3.6
1633 - Cult Gym Chandra Layout,Q-2023-10-01,3.68
1634 - Cult Gym Thanisandra (Near Bhartiya City),Q-2023-10-01,3.7
"1639 - Cult Rohini, Sector 11",Q-2023-10-01,3.9
164 - Cult Punjabi Bagh,Q-2023-10-01,3.85
"1640 - Cult Tulip Chowk, Sector 69",Q-2023-10-01,3.75
1644 - Cult Thanisandra (Near Bhartiya City),Q-2023-10-01,3.8
1661 - Cult South Extension,Q-2023-10-01,3.68
167 - Cult Banjara Hills,Q-2023-10-01,3.89
1677 - Cult.Play JP Nagar The BigBox,Q-2023-10-01,3.81
1678 - Pump Nation Fitness,Q-2023-10-01,3.62
168 - Cult Kondapur,Q-2023-10-01,3.85
"1684 - Cult Fitnest Prime, Prashant Vihar",Q-2023-10-01,3.84
1692 - Vibe Fitness Studio (Kompally),Q-2023-10-01,3.74
1697 - Raptor Fitness,Q-2023-10-01,3.7
1698 - F99 Fit (Pragathi Nagar),Q-2023-10-01,3.64
17 - 121 Premium Fitness Studio,Q-2023-10-01,3.75
170 - Cult Kukatpally,Q-2023-10-01,3.86
171 - Cult Vasant Kunj,Q-2023-10-01,3.9
1717 - Cult Bahu Plaza Main,Q-2023-10-01,3.88
172 - Cult Gachibowli,Q-2023-10-01,3.87
174 - Cult Rajouri Garden,Q-2023-10-01,3.9
18 - Fit 24,Q-2023-10-01,3.6
182 - Cult Basavanagudi,Q-2023-10-01,3.88
1829 - Luxury Akhada Punjabi Bagh,Q-2023-10-01,
183 - Cult Chandra Layout Maruthi Nagar,Q-2023-10-01,3.89
1831 - Boss Fitness - TVS Nagar,Q-2023-10-01,
1833 - Boss Fitness -  Keeranatham,Q-2023-10-01,
1835 - Boss Fitness -  Vadavalli,Q-2023-10-01,
184 - Cult Begumpet,Q-2023-10-01,3.89
1844 - Five The Fitness Hive,Q-2023-10-01,3.75
1847 - Pacific Sports Complex Rohini,Q-2023-10-01,
1850 - Cult Gym Banjara Hills,Q-2023-10-01,3.78
1851 - Swimlife-Cult.Play-Museum Road,Q-2023-10-01,3.7
1852 - HRX Gym RR Nagar,Q-2023-10-01,3.72
1865 - Anytime Fitness Kirti Nagar,Q-2023-10-01,
1866 - Anytime Fitness Punjabi Bagh,Q-2023-10-01,
1868 - Anytime Fitness Vishal Enclave,Q-2023-10-01,
1869 - Anytime Fitness Rajouri Garden,Q-2023-10-01,
1871 - Cult Gachibowli - Indira Nagar,Q-2023-10-01,3.88
1881 - Pump Up Arena,Q-2023-10-01,
1896 - Daybreakers X Wellness Gym,Q-2023-10-01,
1897 - The Wellness Club Xpress Meera Bagh,Q-2023-10-01,
191 - Cult Janakpuri,Q-2023-10-01,3.89
192 - Cult Patel Nagar,Q-2023-10-01,3.91
193 - Cult Kalyan Nagar,Q-2023-10-01,3.87
194 - Cult Botanical Garden Rd,Q-2023-10-01,3.89
1950 - Third Eye Fitness,Q-2023-10-01,3.62
1959 - IFitness - BEL Road,Q-2023-10-01,
1960 - IFitness - Shanti Nagar,Q-2023-10-01,
1976 - SK-27 Gym Greater Kailash 1,Q-2023-10-01,
1977 - SK-27 Gym Hauz Khas,Q-2023-10-01,
1985 - Divine Fitness,Q-2023-10-01,3.38
1995 - L7 Fitness Studio (Ex Commando Fitness),Q-2023-10-01,3.82
20 - Moments Fitness Hub 2.0,Q-2023-10-01,3.69
200 - Cult Madinaguda,Q-2023-10-01,3.9
201 - Cult Pitampura,Q-2023-10-01,3.86
202 - Cult Whitefield Hopefarm,Q-2023-10-01,3.88
2025 - Quadz Fitness - Seshadripuram,Q-2023-10-01,
203 - Cult Frazer Town,Q-2023-10-01,3.84
2037 - Fit24 - Uttarahalli,Q-2023-10-01,
2039 - Emerge Private Fitness Studio - RR Nagar,Q-2023-10-01,
2067 - Slam Fitness - Ambattur,Q-2023-10-01,
207 - Cult Paschim Vihar,Q-2023-10-01,3.89
208 - Cult Model Town,Q-2023-10-01,3.85
2080 - 4 Fitness Gym,Q-2023-10-01,
2085 - Moveza Fitness - Kumara Park,Q-2023-10-01,
2087 - Moveza Fitness - Rajajinagar,Q-2023-10-01,
2093 - Gypsy Fitness Club,Q-2023-10-01,
21 - Zest Fitness,Q-2023-10-01,3.65
2102 - Hybrid Gym,Q-2023-10-01,
2103 - FST-7 Gym,Q-2023-10-01,
212 - Cult Sarjapur Doddakannalli,Q-2023-10-01,3.89
213 - Cult Rajajinagar,Q-2023-10-01,3.88
2147 - Vibes Fitness Gym DLF Phase 3,Q-2023-10-01,
216 - Cult Eros Sector 49,Q-2023-10-01,3.9
219 - Cult Madhapur,Q-2023-10-01,3.89
221 - Cult South Extension (deprecated),Q-2023-10-01,3.88
2221 - Her Fitness Rajouri Garden,Q-2023-10-01,
2223 - Her Fitness Punjabi Bagh,Q-2023-10-01,
224 - Cult Hiranandani Gardens,Q-2023-10-01,3.92
226 - Cult Hennur (Deprecated),Q-2023-10-01,3.83
227 - Cult AS Rao Nagar,Q-2023-10-01,3.92
228 - Cult Himayatnagar,Q-2023-10-01,3.87
23 - Rush Fitness,Q-2023-10-01,3.73
230 - Cult Hoodi,Q-2023-10-01,3.87
231 - Cult Akshayanagar,Q-2023-10-01,3.85
232 - Cult Brigade Road,Q-2023-10-01,3.86
234 - Cult TFD Koramangala,Q-2023-10-01,3.86
235 - Cult Lajpat Nagar (earlier Ring Road),Q-2023-10-01,3.91
236 - Cult Preet Vihar,Q-2023-10-01,3.87
24 - Conquer Gym,Q-2023-10-01,3.59
242 - Cult Tardeo,Q-2023-10-01,3.89
243 - Cult Banaswadi,Q-2023-10-01,3.9
245 - Cult DLF Phase 1,Q-2023-10-01,3.9
247 - Cult LB Nagar,Q-2023-10-01,3.86
251 - Cult SG Palya (Near Forum Koramangala),Q-2023-10-01,3.9
260 - Cult Juhu,Q-2023-10-01,3.87
261 - Cult Malad,Q-2023-10-01,3.92
268 - Cult Velachery Chennai - Hybrid,Q-2023-10-01,3.95
270 - Cult Kalyani Nagar old,Q-2023-10-01,3.89
272 - Cult Nagavara - Manyata Tech Park,Q-2023-10-01,3.88
278 - Cult Malviya Nagar,Q-2023-10-01,3.8
282 - Cult Saket,Q-2023-10-01,3.91
283 - Cult Dwarka Sector 12,Q-2023-10-01,3.9
284 - Cult Sector 18 Noida (Deprecated),Q-2023-10-01,3.92
288 - Cult SR Nagar(Deprecated),Q-2023-10-01,3.92
289 - Cult Nizampet x Roads,Q-2023-10-01,3.88
290 - Cult Dilsukhnagar,Q-2023-10-01,3.86
291 - Cult Srinagar Colony,Q-2023-10-01,3.85
292 - Cult Powai-Raheja Vihar,Q-2023-10-01,3.93
293 - Cult Chembur (deprecated old center),Q-2023-10-01,3.91
294 - Cult Prabhadevi,Q-2023-10-01,3.83
295 - Cult Kandivali West,Q-2023-10-01,3.91
304 - Cult Nallagandla,Q-2023-10-01,3.92
305 - Cult Kompally,Q-2023-10-01,3.88
307 - Cult Marathahalli ORR,Q-2023-10-01,3.91
31 - The Monkey Fitness,Q-2023-10-01,3.69
315 - Cult HSR 24th Main,Q-2023-10-01,3.82
316 - Cult Magarpatta City,Q-2023-10-01,3.86
317 - Cult Tolichowki,Q-2023-10-01,3.9
318 - Cult Nagole,Q-2023-10-01,3.91
321 - Cult Habsiguda,Q-2023-10-01,3.9
33 - Supergym (Pai Layout),Q-2023-10-01,3.56
331 - Cult Wakad(deprecated),Q-2023-10-01,3.89
333 - Cult Vijayanagar (Mysore),Q-2023-10-01,3.88
337 - Cult Satellite,Q-2023-10-01,3.88
338 - Cult Sector 9 Panchkula,Q-2023-10-01,3.9
34 - Supergym (Thippasandra),Q-2023-10-01,3.59
346 - Cult Financial District,Q-2023-10-01,3.91
347 - Cult Kokapet (deprecated),Q-2023-10-01,3.91
349 - Cult Elamkulam,Q-2023-10-01,3.91
35 - Supergym (Vignan Nagar),Q-2023-10-01,3.45
36 - Shred Fitness,Q-2023-10-01,3.54
361 - Cult HSR 14th Main,Q-2023-10-01,3.83
"362 - Cult Kanakapura Road, Doddakallasandra",Q-2023-10-01,3.91
366 - Cult T N,Q-2023-10-01,3.91
369 - Cult Bahu Plaza,Q-2023-10-01,3.89
37 - Pledge Fitness,Q-2023-10-01,3.75
370 - Cult Lokhandwala old,Q-2023-10-01,3.9
371 - Cult Andheri East,Q-2023-10-01,3.9
379 - Cult Sector 104 Noida ( Deprecated ),Q-2023-10-01,3.92
384 - Cult Siripuram,Q-2023-10-01,3.76
385 - Cult Kharghar,Q-2023-10-01,3.95
386 - Cult Madhu Milan Square,Q-2023-10-01,3.82
39 - Chizel Fitness Studio,Q-2023-10-01,3.54
"391 - Cult MG Road, Mangalore",Q-2023-10-01,3.97
"393 - Cult Bandra, Linking Road",Q-2023-10-01,3.87
394 - Cult Race Course Rd,Q-2023-10-01,3.94
"396 - Cult Sushant Lok, Phase 1",Q-2023-10-01,3.89
42 - Platinum Fitness Club,Q-2023-10-01,3.54
43 - Yashmaxx 2.0,Q-2023-10-01,3.43
46 - Conquest Fitness,Q-2023-10-01,3.52
465 - Stallion Fitness (Kompally),Q-2023-10-01,3.8
467 - Thew Fitness (DLF Phase 1),Q-2023-10-01,3.74
468 - Studio Velocity,Q-2023-10-01,3.71
47 - Millennium Fitness Club,Q-2023-10-01,3.71
470 - Fitmax,Q-2023-10-01,3.37
471 - Cult Gym Banashankari 2nd Stage,Q-2023-10-01,3.67
472 - Cult Circular Road,Q-2023-10-01,3.87
476 - Paradise Fitness Club,Q-2023-10-01,3.72
478 - An.Fit,Q-2023-10-01,3.53
479 - MH Fitness,Q-2023-10-01,3.85
482 - Balance Fitness Lounge,Q-2023-10-01,3.66
483 - Aim Fit,Q-2023-10-01,3.55
486 - Body Zone Gym and Fitness Center,Q-2023-10-01,3.7
487 - Team Core,Q-2023-10-01,3.77
488 - FitLifez Gym and Spa,Q-2023-10-01,3.74
49 - Drona The Fitness Gurukul,Q-2023-10-01,3.75
490 - Cult Gym Indiranagar,Q-2023-10-01,3.59
491 - Quad the Fitness Hub,Q-2023-10-01,3.64
492 - Cult Gym Richmond Road,Q-2023-10-01,3.62
493 - Cult Anna Nagar,Q-2023-10-01,3.92
494 - Cult Nungambakkam,Q-2023-10-01,3.91
50 - Fast Fit Gym,Q-2023-10-01,3.64
502 - High Fitness Club,Q-2023-10-01,3.69
508 - The Iron Pumpers Gym,Q-2023-10-01,3.59
514 - MultiFit (Hennur),Q-2023-10-01,3.67
515 - Fitness Element (Ex MultiFit Grand Tamanna),Q-2023-10-01,3.62
517 - MultiFit (Kalyan Nagar),Q-2023-10-01,3.76
519 - MultiFit (Pimple Saudagar),Q-2023-10-01,3.7
520 - MultiFit (SUFC),Q-2023-10-01,3.59
524 - Turbo Fitness (Bandra),Q-2023-10-01,3.62
526 - Ares Gym,Q-2023-10-01,3.63
53 - I Lift Fitness,Q-2023-10-01,3.72
530 - Cult Adyar,Q-2023-10-01,3.93
534 - Be Fit,Q-2023-10-01,3.5
536 - Afterburn Fitness Studio (Alwal),Q-2023-10-01,3.74
54 - Mirage.fit,Q-2023-10-01,3.61
541 - Fluid (Vasant Kunj),Q-2023-10-01,3.74
542 - Fit Gym (West Patel Nagar),Q-2023-10-01,3.49
543 - Power Fitness,Q-2023-10-01,3.6
544 - Alpha Fitness (ex. Taurus Fitness),Q-2023-10-01,3.6
546 - Bomiso Fitness,Q-2023-10-01,3.73
548 - Body Power,Q-2023-10-01,3.81
55 - Wellcare Fitness,Q-2023-10-01,3.6
550 - Freedom Fitness,Q-2023-10-01,3.73
551 - MA Fitness,Q-2023-10-01,3.7
552 - Aesthetic B Fitness (ex. Stark Fitness),Q-2023-10-01,3.66
555 - F99 FIT,Q-2023-10-01,3.63
556 - Fitness 4 All,Q-2023-10-01,3.6
56 - FitLifez Gym and Spa,Q-2023-10-01,3.66
569 - Sehat World Green (Dwarka),Q-2023-10-01,3.77
57 - Planet Ultrafit Gym,Q-2023-10-01,3.59
574 - Cult Vidyaranyapura,Q-2023-10-01,3.87
576 - 9th Gear Fitness Club,Q-2023-10-01,3.71
577 - Fitness One Gym,Q-2023-10-01,3.7
579 - F99 Fit,Q-2023-10-01,3.64
58 - Cure Fitness,Q-2023-10-01,3.64
582 - Foundry Active,Q-2023-10-01,3.62
584 - Fly Fit (New Friends Colony),Q-2023-10-01,3.77
587 - B3 Wellness Studio,Q-2023-10-01,3.64
588 - In The Pink Fitness Club,Q-2023-10-01,3.69
59 - IGNYT Gym,Q-2023-10-01,3.59
590 - Lifestyle Fitness Gym and Cardio (Kothapet),Q-2023-10-01,3.66
591 - Stallion Fitness (Kondapur),Q-2023-10-01,3.69
592 - Team Core,Q-2023-10-01,3.63
600 - Cult Pal Heights,Q-2023-10-01,3.95
603 - Cult Dharampeth,Q-2023-10-01,3.85
605 - Cult Race Course,Q-2023-10-01,3.93
"606 - Cult Gym RDC, Ghaziabad",Q-2023-10-01,3.6
607 - Cult Gym Bellandur,Q-2023-10-01,3.63
608 - Cult Gym HSR,Q-2023-10-01,3.64
61 - Body Zone Gym,Q-2023-10-01,3.62
613 - Cult Alwarpet,Q-2023-10-01,3.92
614 - Cult Gym Gomti Nagar,Q-2023-10-01,3.7
615 - Cult Gym Golf Course Rd,Q-2023-10-01,3.76
616 - Cult Golf Course Rd,Q-2023-10-01,3.81
617 - Cult Gomti Nagar,Q-2023-10-01,3.89
63 - Grapple Fitness,Q-2023-10-01,3.74
64 - Changeover Fitness Studio,Q-2023-10-01,3.65
65 - Solid Looks Fitness Studio,Q-2023-10-01,3.2
66 - Fit Plus Health Club,Q-2023-10-01,3.72
664 - Fit Dock,Q-2023-10-01,3.64
665 - Fit Dock,Q-2023-10-01,3.66
670 - Elon Fitness,Q-2023-10-01,3.63
672 - Cubbon Park,Q-2023-10-01,3.76
673 - Fitness Craze,Q-2023-10-01,3.8
674 - GymPoint The Fitness Studio,Q-2023-10-01,3.65
675 - Agara Lake,Q-2023-10-01,3.88
677 - Cult Gym Napier Town,Q-2023-10-01,3.73
678 - Cult Napier Town,Q-2023-10-01,3.85
68 - Tiger Gym,Q-2023-10-01,3.42
680 - Cult Gym Vijay Nagar,Q-2023-10-01,3.6
681 - Cult Vijay Nagar,Q-2023-10-01,3.67
684 - Cult Nariman Point,Q-2023-10-01,3.89
685 - Cult Gym Pitampura,Q-2023-10-01,3.73
686 - Cult Gym BTM Layout,Q-2023-10-01,3.61
687 - Cult BTM Layout,Q-2023-10-01,3.83
69 - Universal Gym,Q-2023-10-01,3.74
690 - Gold's Gym (Kalyani Nagar),Q-2023-10-01,3.59
691 - Gold’s Gym Hadapsar,Q-2023-10-01,3.32
692 - Gold's Gym (Dayanand Vihar),Q-2023-10-01,3.39
693 - Cult Mulund West,Q-2023-10-01,3.92
694 - Reshape Fitness,Q-2023-10-01,3.81
"696 - Defence Colony, Indiranagar",Q-2023-10-01,3.92
7 - cure.fit Bangalore,Q-2023-10-01,3.5
700 - Lalbagh Botanical Garden,Q-2023-10-01,3.97
704 - The Power House,Q-2023-10-01,3.69
706 - Absolute Fitness Studio,Q-2023-10-01,3.69
708 - Cult Gym Kukatpally,Q-2023-10-01,3.54
"709 - Bomiso Fitness (Sector 50, Gurgaon)",Q-2023-10-01,3.7
715 - Stark Fitness Studio (Nizampet),Q-2023-10-01,3.63
717 - GKVK,Q-2023-10-01,3.65
720 - Gold's Gym (Lower Parel),Q-2023-10-01,3.71
721 - Gold's Gym (Yelahanka),Q-2023-10-01,3.73
722 - Gold's Gym (Malleshwaram),Q-2023-10-01,3.6
723 - Gold's Gym (Basaveshwar Nagar),Q-2023-10-01,3.64
725 - Gold's Gym (BEL Road),Q-2023-10-01,3.55
726 - Gold's Gym (Janakpuri),Q-2023-10-01,3.62
727 - Shadow Fitness,Q-2023-10-01,3.83
73 - Apple Fitness,Q-2023-10-01,3.58
730 - C3 Fit Klub,Q-2023-10-01,3.66
731 - Fit City,Q-2023-10-01,3.65
732 - Gold's Gym (Powai),Q-2023-10-01,3.67
733 - Gold's Gym (Kalyan Nagar),Q-2023-10-01,3.64
734 - Fit Gym (East Patel Nagar),Q-2023-10-01,3.62
735 - Cult Gym Malviya Nagar,Q-2023-10-01,3.59
736 - Lesiure Valley Park,Q-2023-10-01,
737 - Paschim Vihar District Park,Q-2023-10-01,4
738 - Priya Park,Q-2023-10-01,3.67
740 - Gold's Gym Baner,Q-2023-10-01,3.69
741 - Gold's Gym (Whitefield),Q-2023-10-01,3.49
743 - Gold's Gym (Moshi),Q-2023-10-01,3.7
745 - Gold's Gym (Vijayanagar),Q-2023-10-01,3.57
746 - Muscle Mutant,Q-2023-10-01,3.65
751 - Dare 2 Fit,Q-2023-10-01,3.77
753 - Clout Fitness (Whitefield),Q-2023-10-01,3.74
754 - GymPoint The Fitness Studio (Madhapur),Q-2023-10-01,3.7
76 - Fitoor The Fitness Studio,Q-2023-10-01,3.71
